name,category,unit_type,waste_percent,preferred_source,preferred_brand,low_stock_threshold,byproduct_name,notes
8oz Deli Cup,Packaging,unit,100,,,250,,
8oz Deli Lid,Packaging,unit,100,,,250,,
Bacon Bits,Meat,g,96,,,,,
Beef Stock Concentrate,Wet,g,100,,,,,
Bourbon Pure Vanilla Extract,Syrup,g,100,,,,,
Caramelized Onions,Vegetables & Fruit,g,100,,,,,
Cheddar Cheese,Dairy & Eggs,g,100,,,,,
Cream Cheese,Dairy & Eggs,g,100,GFS,Philidelphia,,,
Dried Cranberries,Baking,g,100,,,,,
Dried Dill,Spices,g,100,,,,,
Maple Syrup,Wet,g,95,,,,,
Orange Extract,Vegetables & Fruit,g,100,,,,,
Orange Juice Concentrate,Wet,g,95,,,,,
Orange Zest,Vegetables & Fruit,g,100,,,,,
Pickled Jalapenos,Spices,g,100,,,,,
Pickles,Wet,g,100,,,,,
Salt,Spices,g,100,,,,,
Sriracha,Wet,g,95,,,,,
Swiss Cheese,Dairy & Eggs,g,100,,,,,
