ingredient_name,provider,brand,quantity_on_hand
Cream Cheese,GFS,,0
Cream Cheese,GFS,Philidelphia,110000
Cream Cheese,Wholesale Club,No Name,0
Swiss Cheese,No Frills,,3692
Cheddar Cheese,No Frills,,6810
Cheddar Cheese,GFS,,0
Bacon Bits,Wholesale Club,,1247.4
Sriracha,GFS,,0
Sriracha,No Frills,Sriracha,1200
Sriracha,Costco,Ho-Ya,0
Sriracha,Wholesale Club,Uni-Eagle,0
Sriracha,Wholesale Club,Huy Fond,0
Maple Syrup,No Frills,,1400
Pickles,GFS,,0
Pickles,Wholesale Club,,24800
Orange Juice Concentrate,GFS,,0
Beef Stock Concentrate,GFS,,3311
Beef Stock Concentrate,Amazon,,0
Caramelized Onions,GFS,,6356
Orange Zest,N/A,,40
Dried Cranberries,GFS,,0
Dried Cranberries,Wholesale Club,,13872
Dried Dill,Shuswap Health Food,,5800
Pickled Jalapenos,GFS,,40000
Salt,No Frills,,750
8oz Deli Cup,GFS,,375
8oz Deli Lid,GFS,,375
Bourbon Pure Vanilla Extract,Costco,Nielsen-Massey,0
Bourbon Pure Vanilla Extract,Natural Vanilla Canada,Natural Vanilla,0
