recipe_name,ingredient_name,quantity_per_jar
Caramelized French Onion,Cream Cheese,250
Caramelized French Onion,Swiss Cheese,20
Caramelized French Onion,Beef Stock Concentrate,5
Caramelized French Onion,Caramelized Onions,45.35
Caramelized French Onion,8oz Deli Cup,1
Caramelized French Onion,8oz Deli Lid,1
Dangerously Dilly,Cream Cheese,250
Dangerously Dilly,Pickles,50
Dangerously Dilly,Dried Dill,2.5
Dangerously Dilly,8oz Deli Cup,1
Dangerously Dilly,8oz Deli Lid,1
Jalapeno Popper,Cream Cheese,250
Jalapeno Popper,Cheddar Cheese,20
Jalapeno Popper,Pickled Jalapenos,43.75
Jalapeno Popper,Salt,1
Jalapeno Popper,8oz Deli Cup,1
Jalapeno Popper,8oz Deli Lid,1
Sriracha Maple Bacon,Cream Cheese,250
Sriracha Maple Bacon,Bacon Bits,35
Sriracha Maple Bacon,Sriracha,30
Sriracha Maple Bacon,Maple Syrup,15
Sriracha Maple Bacon,8oz Deli Cup,1
Sriracha Maple Bacon,8oz Deli Lid,1
Zesty Orange Cranberry,Cream Cheese,250
Zesty Orange Cranberry,Orange Juice Concentrate,34
Zesty Orange Cranberry,Orange Zest,4
Zesty Orange Cranberry,Dried Cranberries,50
Zesty Orange Cranberry,8oz Deli Cup,1
Zesty Orange Cranberry,8oz Deli Lid,1
