ingredient_name,provider,brand,package_size,units_per_case
Cream Cheese,GFS,,15000,1
Cream Cheese,GFS,Philidelphia,20000,1
Cream Cheese,Wholesale Club,No Name,1500,1
Swiss Cheese,No Frills,,1500,1
Cheddar Cheese,No Frills,,2270,1
Cheddar Cheese,GFS,,4540,1
Bacon Bits,Wholesale Club,,567,1
Sriracha,GFS,,714,1
Sriracha,No Frills,Sriracha,714,1
Sriracha,Costco,Ho-Ya,1000,1
Sriracha,Wholesale Club,Uni-Eagle,815,1
Sriracha,Wholesale Club,Huy Fond,3500,1
Maple Syrup,No Frills,,1000,1
Pickles,GFS,,19000,1
Pickles,Wholesale Club,,4000,1
Orange Juice Concentrate,GFS,,10500,1
Beef Stock Concentrate,GFS,,946,4
Beef Stock Concentrate,Amazon,,946,1
Caramelized Onions,GFS,,1816,1
Orange Zest,N/A,,1,1
Dried Cranberries,GFS,,6000,1
Dried Cranberries,Wholesale Club,,1360,1
Dried Dill,Shuswap Health Food,,100,1
Pickled Jalapenos,GFS,,8000,1
Salt,No Frills,,20000,1
8oz Deli Cup,GFS,,1,500
8oz Deli Lid,GFS,,1,500
Bourbon Pure Vanilla Extract,Costco,Nielsen-Massey,236,2
Bourbon Pure Vanilla Extract,Natural Vanilla Canada,Natural Vanilla,1600,1
